src,dst,edge_type,mode,transit_time_days,edge_exposure,edge_id,item_id,qty_per_parent,uom,scrap_rate,need_by_date,promise_date,lead_time_days,unit_cost_usd,is_qualified,is_selected,allocation_share,min_order_qty,capacity_per_period,capacity_period,meta_json
ORG::ALT_Marine_grade_Steel_AH36_2,RAW::Marine-grade Steel (AH36),supply_offer,logistics,14,0.809,E_0059,RAW::Marine-grade Steel (AH36),,,,11/9/26,10/27/26,11,20067.81,TRUE,FALSE,0,1,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Nickel-based_Superalloy,RAW::Nickel-based Superalloy,supply_selected,logistics,3,0.256,E_0060,RAW::Nickel-based Superalloy,,,,8/13/26,7/31/26,53,2619.56,TRUE,TRUE,1,5,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Nickel_based_Superalloy_1,RAW::Nickel-based Superalloy,supply_offer,logistics,10,0.693,E_0061,RAW::Nickel-based Superalloy,,,,7/19/26,6/28/26,70,2672.41,TRUE,FALSE,0,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Nickel_based_Superalloy_2,RAW::Nickel-based Superalloy,supply_offer,logistics,14,0.548,E_0062,RAW::Nickel-based Superalloy,,,,8/24/26,8/19/26,50,3232.37,TRUE,FALSE,0,25,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Quartz_Crystal,RAW::Quartz Crystal,supply_selected,logistics,10,0.335,E_0063,RAW::Quartz Crystal,,,,12/4/26,12/1/26,16,2178.93,TRUE,TRUE,1,1,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Quartz_Crystal_1,RAW::Quartz Crystal,supply_offer,logistics,30,0.465,E_0064,RAW::Quartz Crystal,,,,12/6/26,12/6/26,17,1660.05,TRUE,FALSE,0,5,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Quartz_Crystal_2,RAW::Quartz Crystal,supply_offer,logistics,45,0.2,E_0065,RAW::Quartz Crystal,,,,12/2/26,11/29/26,18,2136.84,TRUE,FALSE,0,5,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_RF-grade_Copper,RAW::RF-grade Copper,supply_selected,logistics,30,0.23,E_0066,RAW::RF-grade Copper,,,,9/28/26,9/20/26,78,13574.58,TRUE,TRUE,1,50,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_RF_grade_Copper_1,RAW::RF-grade Copper,supply_offer,logistics,3,0.266,E_0067,RAW::RF-grade Copper,,,,9/12/26,8/31/26,90,13679.91,TRUE,FALSE,0,25,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_RF_grade_Copper_2,RAW::RF-grade Copper,supply_offer,logistics,5,0.478,E_0068,RAW::RF-grade Copper,,,,9/20/26,9/12/26,86,14118.17,TRUE,FALSE,0,50,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Rare-earth_Magnets_(NdFeB),RAW::Rare-earth Magnets (NdFeB),supply_selected,logistics,45,0.206,E_0069,RAW::Rare-earth Magnets (NdFeB),,,,8/19/26,8/15/26,84,999.41,TRUE,TRUE,1,10,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Rare_earth_Magnets_NdFeB_1,RAW::Rare-earth Magnets (NdFeB),supply_offer,logistics,10,0.823,E_0070,RAW::Rare-earth Magnets (NdFeB),,,,8/26/26,8/8/26,63,904.2,TRUE,FALSE,0,25,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Rare_earth_Magnets_NdFeB_2,RAW::Rare-earth Magnets (NdFeB),supply_offer,logistics,3,0.684,E_0071,RAW::Rare-earth Magnets (NdFeB),,,,8/11/26,8/1/26,86,1064.81,TRUE,FALSE,0,10,100,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Stainless_Steel_316,RAW::Stainless Steel 316,supply_selected,logistics,30,0.594,E_0072,RAW::Stainless Steel 316,,,,6/25/26,6/13/26,97,1527.12,TRUE,TRUE,1,1,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Stainless_Steel_316_1,RAW::Stainless Steel 316,supply_offer,logistics,5,0.75,E_0073,RAW::Stainless Steel 316,,,,6/25/26,6/4/26,83,1234.48,TRUE,FALSE,0,10,200,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Stainless_Steel_316_2,RAW::Stainless Steel 316,supply_offer,logistics,3,0.468,E_0074,RAW::Stainless Steel 316,,,,6/25/26,6/19/26,90,1399.83,TRUE,FALSE,0,5,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Titanium_Alloy_Bar,RAW::Titanium Alloy Bar,supply_selected,logistics,3,0.61,E_0075,RAW::Titanium Alloy Bar,,,,9/27/26,9/24/26,60,599.49,TRUE,TRUE,1,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Titanium_Alloy_Bar_1,RAW::Titanium Alloy Bar,supply_offer,logistics,45,0.588,E_0076,RAW::Titanium Alloy Bar,,,,9/13/26,8/24/26,57,546.92,TRUE,FALSE,0,1,20,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Titanium_Alloy_Bar_2,RAW::Titanium Alloy Bar,supply_offer,logistics,45,0.235,E_0077,RAW::Titanium Alloy Bar,,,,9/1/26,8/19/26,76,631.59,FALSE,FALSE,0,50,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::T3_Weld_Wire_(Flux-Cored),RAW::Weld Wire (Flux-Cored),supply_selected,logistics,5,0.307,E_0078,RAW::Weld Wire (Flux-Cored),,,,10/28/26,10/24/26,36,16033.32,TRUE,TRUE,1,10,5,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Weld_Wire_Flux_Cored_1,RAW::Weld Wire (Flux-Cored),supply_offer,logistics,14,0.506,E_0079,RAW::Weld Wire (Flux-Cored),,,,10/12/26,9/29/26,43,17085.1,TRUE,FALSE,0,10,50,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
ORG::ALT_Weld_Wire_Flux_Cored_2,RAW::Weld Wire (Flux-Cored),supply_offer,logistics,7,0.419,E_0080,RAW::Weld Wire (Flux-Cored),,,,10/7/26,9/26/26,50,17758.02,TRUE,FALSE,0,50,10,month,"{""scenario_id"": ""Vessel_CaseStudy_v1"", ""tier"": ""T3""}"
